	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	1.0999999999999999	12.7	20.200000000000003	IsA	6.0	3.74	1.0	sub_sister
1	anchor_col_all	1.0999999999999999	12.7	20.200000000000003	IsA	6.0	3.74	1.0	sub_sister
0	sentence	2.4	9.0	15.8	IsA	6.0	3.74	1.0	obj_label
1	def_sap	0.7000000000000001	6.1	11.799999999999999	IsA	3.0	3.74	1.0	obj_label
2	lsp_sap	0.0	2.0	5.4	IsA	1.0	3.74	1.0	obj_label
3	sentence_dap	0.8999999999999999	4.6	8.799999999999999	IsA	3.1	3.74	1.0	obj_label
4	def_dap	0.4	4.3999999999999995	11.1	IsA	2.5	3.74	1.0	obj_label
5	lsp_dap	0.0	1.7999999999999998	6.4	IsA	1.0999999999999999	3.74	1.0	obj_label
6	def_sap_uniform	0.7000000000000001	6.1	11.799999999999999	IsA	3.0	3.74	1.0	obj_label
7	lsp_sap_uniform	0.0	2.0	5.4	IsA	1.0	3.74	1.0	obj_label
8	def_dap_uniform	0.4	4.3999999999999995	11.1	IsA	2.5	3.74	1.0	obj_label
9	lsp_dap_uniform	0.0	1.7999999999999998	6.4	IsA	1.0999999999999999	3.74	1.0	obj_label
